Dia do ano, Data, Dados_dgs, Fit_Logistico_Confirmados,Novos_Casos,Fit_Gompertz_Confirmados,Gompertz_Novos_casos
61,01/03/2020,0,11.217977677545077,0,9.867908005737899e-05,0
62,02/03/2020,2,14.283572114618853,3.0655944370737753,0.0005617391809596482,0.00046306010090226923
63,03/03/2020,4,18.18583922460369,3.9022671099848374,0.0027328194946855903,0.002171080313725942
64,04/03/2020,6,23.152457405429836,4.966618180826146,0.011524388029347857,0.008791568534662267
65,05/03/2020,9,29.472646647934763,6.320189242504927,0.04267393874781025,0.031149550718462395
66,06/03/2020,13,37.513545974197854,8.04089932626309,0.14039324278042337,0.09771930403261311
67,07/03/2020,21,47.74078965715502,10.227243682957166,0.4147708251770878,0.27437758239666443
68,08/03/2020,30,60.74425918898091,13.003469531825893,1.1111417213354333,0.6963708961583455
69,09/03/2020,39,77.27015198182136,16.525892792840445,2.723136510639077,1.6119947893036437
70,10/03/2020,41,98.26065611186853,20.99050413004717,6.1546118871859985,3.4314753765469215
71,11/03/2020,59,124.9026148671502,26.641958755281678,12.922314618337548,6.76770273115155
72,12/03/2020,78,158.6865395246766,33.783924657526384,25.37338443421886,12.451069815881311
73,13/03/2020,112,201.4770754679806,42.79053594330401,46.87528520228923,21.501900768070367
74,14/03/2020,169,255.59537558707925,54.11830011909865,81.92724823317202,35.051963030882796
75,15/03/2020,245,323.9125313117497,68.31715572467047,136.1467185437112,54.219470310539165
76,16/03/2020,331,409.95089499180096,86.03836368005125,216.10224160966203,79.95552306595084
77,17/03/2020,448,517.9863250073372,108.03543001553624,328.99158868969465,112.88934708003262
78,18/03/2020,642,653.138550907233,135.15222589989583,482.1934093826396,153.20182069294492
79,19/03/2020,785,821.428507102722,168.28995619548903,682.7446274635655,200.55121808092593
80,20/03/2020,1020,1029.770517846625,208.34201074390285,936.8086313103071,254.06400384674157
81,21/03/2020,1280,1285.8545099554929,256.08399210886796,1249.1990956286522,312.39046431834515
82,22/03/2020,1600,1597.861772066235,312.0072621107422,1623.012582442019,373.8134868133668
83,23/03/2020,2060,1973.9529918904607,376.0912198242256,2059.403893890819,436.3913114487998
84,24/03/2020,2362,2421.478916308571,447.52592441811043,2557.5163379820615,498.11244409124265
85,25/03/2020,2995,2945.904065436572,524.4251491280011,3114.5589627334098,557.0426247513483
86,26/03/2020,3544,3549.5120760919353,603.6080106553632,3726.0073981873556,611.4484354539459
87,27/03/2020,4268,4230.074430968336,680.5623548764006,4385.8955856218145,659.8881874344588
88,28/03/2020,5170,4979.784476085276,749.7100451169399,5087.162313786154,701.2667281643398
89,29/03/2020,5962,5784.8278470787645,805.0433709934887,5822.018090534866,734.8557767487118
90,30/03/2020,6408,6625.908590183782,841.0807431050171,6582.302941219366,760.2848506845003
91,31/03/2020,7443,7479.840196834024,853.9316066502424,7359.812666151937,777.5097249325709
92,01/04/2020,8251,8321.987852876196,842.1476560421725,8146.5785493364865,786.7658831845492
93,02/04/2020,9034,9129.046025558904,807.0581726827077,8935.092486871623,788.5139375351364
94,03/04/2020,9886,9881.507905026521,752.4618794676171,9718.47537623589,783.3828893642676
95,04/04/2020,10524,10565.300643421464,683.7927383949427,10490.591094098954,772.1157178630638
96,05/04/2020,11278,11172.357848466756,607.057205045292,11246.111463017714,755.5203689187601
97,06/04/2020,11730,11700.226085619257,527.868237152501,11980.539406451728,734.4279434340133
98,07/04/2020,,12151.01881676851,450.7927311492531,12690.198246446704,709.658839994976
99,08/04/2020,,12530.089629841495,379.0708130729854,13372.195068042402,681.9968215956978
100,09/04/2020,,12844.73126784984,314.64163800834467,14024.3655070063,652.170438963898
101,10/04/2020,,13103.087642052307,258.3563742024671,14645.2064268273,620.8409198210011
102,11/04/2020,,13313.351719680146,210.26407762783856,15233.801906924984,588.5954800976833
103,12/04/2020,,13483.24229766529,169.89057798514477,15789.74689166359,555.9449847386059
104,13/04/2020,,13619.71107522616,136.46877756086906,16313.071833416097,523.3249417525076
105,14/04/2020,,13728.81883905032,109.10776382416043,16804.170753554354,491.0989201382563
106,15/04/2020,,13815.723870933505,86.90503188318507,17263.734368087924,459.5636145335702
107,16/04/2020,,13884.73719266896,69.01332173545416,17692.6892865369,428.95491844897697
108,17/04/2020,,13939.41199978139,54.674807112431154,18092.143788058038,399.454501521137
109,18/04/2020,,13982.64570604708,43.23370626568976,18463.340295075803,371.1965070177648
110,19/04/2020,,14016.781486326987,34.13578027990661,18807.614385255984,344.2740901801808
111,20/04/2020,,14043.7021404953,26.920654168312467,19126.359990046578,318.74560479059437
112,21/04/2020,,14064.912980785668,21.21084029036865,19421.00030520182,294.6403151552404
113,22/04/2020,,14081.612815833787,16.699835048118985,19692.963870243686,271.9635650418677
114,23/04/2020,,14094.753444214617,13.140628380830094,19943.665246272827,250.7013760291411
115,24/04/2020,,14105.088743944245,10.335299729627877,20174.489723668143,230.82447739531563
116,25/04/2020,,14113.214711046083,8.125967101837887,20386.78151387819,212.29179021004893
117,26/04/2020,,14119.601832950317,6.387121904233936,20581.834915500996,195.0534016228048
118,27/04/2020,,14124.621091657293,5.019258706975961,20760.88798864213,179.05307314113452
119,28/04/2020,,14128.564744666179,3.943653008886031,20925.118319014913,164.2303303727822
120,29/04/2020,,14131.66286780865,3.0981231424721045,21075.640501431666,150.5221824167529
121,30/04/2020,,14134.096484636468,2.433616827816877,21213.505019178287,137.86451774662055
122,01/05/2020,,14136.00796231606,1.9114776795922808,21339.698239921752,126.19322074346564
123,02/05/2020,,14137.509228144074,1.5012658280138567,21455.14328946659,115.44504954483637
124,03/05/2020,,14138.688254342167,1.1790261980931973,21560.701601442343,105.5583119757539
125,04/05/2020,,14139.614170432455,0.925916090287501,21657.174973745037,96.47337230269477
126,05/05/2020,,14140.341290151293,0.7271197188383667,21745.307991342284,88.13301759724709
127,06/05/2020,,14140.91228121339,0.5709910620971641,21825.79070008344,80.48270874115406
128,07/05/2020,,14141.360659048165,0.4483778347748739,21899.261437710637,73.4707376271981
129,08/05/2020,,14141.712747869771,0.35208882160623034,21966.30974666194,67.04830895130362
130,09/05/2020,,14141.98922235536,0.27647448558855103,22027.479308828144,61.16956216620383
131,10/05/2020,,14142.206319311545,0.21709695618483238,22083.27085550009,55.79154667194598
132,11/05/2020,,14142.376789780034,0.17047046848892933,22134.145016639646,50.874161139556236
133,12/05/2020,,14142.51064706705,0.13385728701723565,22180.5250826179,46.3800659782537
134,13/05/2020,,14142.615754365876,0.10510729882480518,22222.799658956443,42.27457633854283
135,14/05/2020,,14142.698286325236,0.08253195936049451,22261.32520062162,38.525541665178025
136,15/05/2020,,14142.763091576448,0.06480525121151004,22296.4284172699,35.10321664828007
137,16/05/2020,,14142.813977454107,0.05088587765931152,22328.408544711318,31.9801274414167
138,17/05/2020,,14142.85393359882,0.039956144713869435,22357.539480908654,29.13093619733627
139,18/05/2020,,14142.885307555036,0.031373956215247745,22384.071787202116,26.53230629346217
140,19/05/2020,,14142.909942666092,0.024635111056340975,22408.234557261545,24.162770059429022
141,20/05/2020,,14142.929286359196,0.01934369310401962,22430.23715762196,22.002600360414363
142,21/05/2020,,14142.94447517698,0.015188817784292041,22450.270844638617,20.033687016657495
143,22/05/2020,,14142.956401548201,0.011926371220397414,22468.510263377066,18.239418738448876
144,23/05/2020,,14142.965766218575,0.00936467037354305,22485.114834391115,16.604571014049725
145,24/05/2020,,14142.973119421087,0.0073532025126041844,22500.23003458795,15.11520019683303
146,25/05/2020,,14142.978893203968,0.0057737828810786596,22513.988578475084,13.758543887135602
147,26/05/2020,,14142.983426815279,0.004533611310762353,22526.511506063554,12.522927588470338
148,27/05/2020,,14142.986986635375,0.0035598200956883375,22537.909183592103,11.397677528548229
149,28/05/2020,,14142.98978182814,0.002795192765915999,22548.28222306227,10.373039470166987
150,29/05/2020,,14142.991976630585,0.002194802444137167,22557.72232635108,9.440103288809041
151,30/05/2020,,14142.993700002751,0.0017233721664524637,22566.31305941224,8.59073306116261
152,31/05/2020,,14142.995053204924,0.0013532021730497945,22574.13056179959,7.817502387348213
